TEAM_ID,TEAM_NAME,TEAM_ABBR,EW_LOCATION,DIVISION,TEAM_LOCATION
1610612737,Atlanta Hawks,ATL,East,Southeast,"Atlanta, Georgia"
1610612751,Brooklyn Nets,BKN,East,Atlantic,"Brooklyn, New York"
1610612738,Boston Celtics,BOS,East,Atlantic,"Boston, Massachusetts"
1610612766,Charlotte Hornets,CHA,East,Southeast,"Charlotte, North Carolina"
1610612741,Chicago Bulls,CHI,East,Central,"Chicago, Illinois"
1610612739,Cleveland Cavaliers,CLE,East,Central,"Cleveland, Ohio"
1610612742,Dallas Mavericks,DAL,West,Southwest,"Dallas, Texas"
1610612743,Denver Nuggets,DEN,West,Northwest,"Denver, Colorado"
1610612765,Detroit Pistons,DET,East,Central,"Detroit, Michigan"
1610612744,Golden State Warriors,GSW,West,Pacific,"San Francisco, California"
1610612745,Houston Rockets,HOU,West,Southwest,"Houston, Texas"
1610612754,Indiana Pacers,IND,East,Central,"Indianapolis, Indiana"
1610612746,Los Angeles Clippers,LAC,West,Pacific,"Los Angeles, California"
1610612747,Los Angeles Lakers,LAL,West,Pacific,"Los Angeles, California"
1610612763,Memphis Grizzlies,MEM,West,Southwest,"Memphis, Tennessee"
1610612748,Miami Heat,MIA,East,Southeast,"Miami, Florida"
1610612749,Milwaukee Bucks,MIL,East,Central,"Milwaukee, Wisconsin"
1610612750,Minnesota Timberwolves,MIN,West,Northwest,"Minneapolis, Minnesota"
1610612740,New Orleans Pelicans,NOP,West,Southwest,"New Orleans, Louisiana"
1610612752,New York Knicks,NYK,East,Atlantic,"Manhattan, New York"
1610612760,Oklahoma City Thunder,OKC,West,Northwest,"Oklahoma City, Oklahoma"
1610612753,Orlando Magic,ORL,East,Southeast,"Orlando, Florida"
1610612755,Philadelphia 76ers,PHI,East,Atlantic,"Philadelphia, Pennsylvania"
1610612756,Phoenix Suns,PHX,West,Pacific,"Phoenix, Arizona"
1610612757,Portland Trail Blazers,POR,West,Northwest,"Portland, Oregon"
1610612758,Sacramento Kings,SAC,West,Pacific,"Sacramento, California"
1610612759,San Antonio Spurs,SAS,West,Southwest,"San Antonio, Texas"
1610612761,Toronto Raptors,TOR,East,Atlantic,"Toronto, Ontario"
1610612762,Utah Jazz,UTA,West,Northwest,"Salt Lake City, Utah"
1610612764,Washington Wizards,WAS,East,Southeast,"Washington, D.C."
